"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"SHLM","A. Schulman, Inc.","29.75","872619741","n/a","1972","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/shlm",
"ADES","ADA-ES, Inc.","24.49","246348461.05","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/ades",
"AEGN","Aegion Corp","21.85","848379236.25","n/a","2000","Basic Industries","Water Supply","http://www.nasdaq.com/symbol/aegn",
"AEM","Agnico-Eagle Mines Limited","37.77","6515369153.13","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/aem",
"AGU","Agrium Inc.","97.65","14592292596","n/a","n/a","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/agu",
"APD","Air Products and Chemicals, Inc.","85.65","17783052899.85","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/apd",
"AKS","AK Steel Holding Corporation","3.09","421089459.54","n/a","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/aks",
"AGI","Alamos Gold Inc","12.57","1602119230.02","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/agi",
"AIN","Albany International Corporation","29.42","834332194.68","n/a","n/a","Basic Industries","Textiles","http://www.nasdaq.com/symbol/ain",
"ALB","Albemarle Corporation","62.19","5518676108.97","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/alb",
"AXX","Alderon Iron Ore Corp.","1.22","158775883.74","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/axx",
"AXU","Alexco Resource Corp","2.52","152394222.96","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/axu",
"ATI","Allegheny Technologies Incorporated","29.91","3213526870.62","n/a","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/ati",
"ANV","Allied Nevada Gold Corp.","11.79","1058012340.48","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/anv",
"AAU","Almaden Minerals, Ltd.","1.92","115233256.32","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/aau",
"ALTI","Altair Nanotechnologies Inc.","2.3","26657154.1","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/alti",
"ACH","Aluminum Corporation of China Ltd","9.2","4977011538","n/a","1993","Basic Industries","Aluminum","http://www.nasdaq.com/symbol/ach",
"ACO","Amcol International Corporation","29.75","947767556.75","n/a","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/aco",
"AMRC","Ameresco, Inc.","7.04","319119356.16","n/a","2010","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/amrc",
"APFC","American Pacific Corporation","23.55","183160690.2","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/apfc",
"AVD","American Vanguard Corporation","28.46","810739308.5","n/a","n/a","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/avd",
