"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AXAS","Abraxas Petroleum Corporation","2.24","207722923.52","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas",
"AE","Adams Resources & Energy, Inc.","45","189791820","n/a","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/ae",
"AAV","Advantage Oil & Gas Ltd","3.72","626384157.36","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/aav",
"ANW","Aegean Marine Petroleum Network Inc.","6.07","282749091.93","n/a","2006","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/anw",
"AHGP","Alliance Holdings GP, L.P.","51.97","3111080110","n/a","2006","Energy","Coal Mining","http://www.nasdaq.com/symbol/ahgp",
"ARLP","Alliance Resource Partners, L.P.","65.56","2423297820.24","n/a","1999","Energy","Coal Mining","http://www.nasdaq.com/symbol/arlp",
"ALJ","Alon USA Energy, Inc.","17.18","1073133633.14","n/a","2005","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/alj",
"ALDW","Alon USA Partners, LP","23.18","1448774176.74","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/aldw",
"ANR","Alpha Natural Resources, inc.","7.56","1668644560.8","n/a","2005","Energy","Coal Mining","http://www.nasdaq.com/symbol/anr",
"ADGE","American DG Energy Inc.","1.99","96496558.67","n/a","n/a","Energy","Electric Utilities: Central","http://www.nasdaq.com/symbol/adge",
"AETI","American Electric Technologies, Inc.","5.31","42537337.38","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeti",
"APC","Anadarko Petroleum Corporation","86.55","43984518378.3","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/apc",
"AMCF","Andatee China Marine Fuel Services Corporation","0.75","7139225.25","n/a","2010","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/amcf",
"APA","Apache Corporation","74.64","29246567833.44","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/apa",
"APAGF","Apco Oil and Gas International Inc.","10.59","311782731.6","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/apagf",
"AREX","Approach Resources Inc.","24.75","965865507.75","n/a","2007","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/arex",
"ARSD","Arabian American Development Company","7.99","192601450.87","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/arsd",
"ACI","Arch Coal, Inc.","5.39","1144126104.66","n/a","1988","Energy","Coal Mining","http://www.nasdaq.com/symbol/aci",
"ARTX","Arotech Corporation","1.14","18438573.18","n/a","1994","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/artx",
"AT","Atlantic Power Corporation","4.75","567592481.5","n/a","n/a","Energy","Electric Utilities: Central","http://www.nasdaq.com/symbol/at",
"ARP","Atlas Resource Partners, L.P.","23.88","1141695803.16","n/a","2005","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/arp",
"ATW","Atwood Oceanics, Inc.","50.39","3307693627.74","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/atw",
"BWC","Babcock & Wilcox Company (The)","27.37","3108957506.27","n/a","1993","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bwc",
"BHI","Baker Hughes Incorporated","44.76","19776485095.44","n/a","n/a","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/bhi",
"BLDP","Ballard Power Systems, Inc.","0.9799","96772404.6771","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bldp",
"BRN","Barnwell Industries, Inc.","3.15","26073054","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/brn",
"BAS","Basic Energy Services, Inc.","12.29","513241891.15","n/a","2005","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/bas",
"BTE","Baytex Energy Corp","40.63","4984707517.59","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bte",
"BXE","Bellatrix Exploration Ltd","6.35","684966714.9","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bxe",
"BRY","Berry Petroleum Company","46.6","2530891947.6","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bry",
"BBL","BHP Billiton plc","57.86","154714068822.94","n/a","n/a","Energy","Coal Mining","http://www.nasdaq.com/symbol/bbl",
"BBG","Bill Barrett Corporation","21.05","1027880130.5","n/a","2004","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bbg",
"BKEP","Blueknight Energy Partners L.P., L.L.C.","8.53","193418901.55","n/a","n/a","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/bkep",
"BKEPP","Blueknight Energy Partners L.P., L.L.C.","8.8699","267515811.4642","n/a","n/a","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/bkepp",
"BOLT","Bolt Technology Corporation","16.82","145061735.2","n/a","1981","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/bolt",
"BCEI","Bonanza Creek Energy, Inc.","37.49","1501115720.7","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bcei",
"BP","BP p.l.c.","41.22","130760312889.06","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/bp",
"BPT","BP Prudhoe Bay Royalty Trust","82.99","1775986000","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/bpt",
"BPZ","BPZ Resources, Inc","2.39","279446488.63","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bpz",
"BBEP","BreitBurn Energy Partners, L.P.","19.91","1984624738.36","n/a","2006","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bbep",
"BGG","Briggs & Stratton Corporation","23.86","1149466332.44","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bgg",
"BC","Brunswick Corporation","32.92","2977325950","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bc",
"BPL","Buckeye Partners L.P.","60.62","5899662064.8","n/a","1986","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/bpl",
"CJES","C&J Energy Services, Inc.","20.46","1104939783.42","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/cjes",
"COG","Cabot Oil & Gas Corporation","68.64","14438082035.52","n/a","1990","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cog",
"CAE","CAE Inc","9.67","2513997500.53","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cae",
"DVR","Cal Dive International, Inc.","1.63","159534139.15","n/a","2006","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/dvr",
"CPE","Callon Petroleum Company","3.5","139545476","n/a","1987","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cpe",
"CLMT","Calumet Specialty Products Partners, L.P.","36.67","2320469459.26","n/a","1996","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/clmt",
"CAK","CAMAC Energy Inc.","0.7099","110677415.9657","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cak",
"CAM","Cameron International Corporation","62.42","15475699341.96","n/a","1993","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/cam",
"CNQ","Canadian Natural Resources Limited","30.64","33474172056.32","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cnq",
"CPST","Capstone Turbine Corporation","0.935","284769516.68","n/a","1986","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cpst",
"CRZO","Carrizo Oil & Gas, Inc.","25.82","1040057201.58","n/a","1997","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/crzo",
"CVE","Cenovus Energy Inc","29.48","22270017675.84","n/a","1985","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cve",
"CGG","CGG-Veritas","22.1","3359904393.3","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cgg",
"CHK","Chesapeake Energy Corporation","19.75","13184463872.25","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/chk",
"CHKR","Chesapeake Granite Wash Trust","14.71","687692500","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/chkr",
"CVX","Chevron Corporation","117.81","228869226286.47","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/cvx",
"CBAK","China BAK Battery, Inc.","1.123","14171807.431","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cbak",
"MY","China Ming Yang Wind Power Group Limited","1.24","155000000","n/a","2010","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/my",
"SNP","China Petroleum & Chemical Corporation","113.62","98645198613.78","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/snp",
"CYD","China Yuchai International Limited","13.65","508703736.45","n/a","1994","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cyd",
"XEC","Cimarex Energy Co","71.67","6192747978.06","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/xec",
"CKX","CKX Lands, Inc.","14.75","28651801.25","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ckx",
"CWEI","Clayton Williams Energy, Inc.","40.4","491447254.4","n/a","1993","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cwei",
"CLD","Cloud Peak Energy Inc","18.76","1146501585.32","n/a","2009","Energy","Coal Mining","http://www.nasdaq.com/symbol/cld",
"CEO","CNOOC Limited","184.42","82336717340.78","n/a","2001","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ceo",
"CIE","Cobalt International Energy, Inc.","28.45","11696695926.15","n/a","2009","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cie",
