"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"FCTY","1st Century Bancshares, Inc","5.78","52812599.84","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcty",
"FCCY","1st Constitution Bancorp (NJ)","8.79","52497527.85","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","23.24","587866211.52","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/srce",
"FUBC","1st United Bancorp, Inc. (FL)","6.3","214642701","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fubc",
"ABM","ABM Industries Incorporated","21.3","1163997437.1","n/a","n/a","Finance","Diversified Commercial Services","http://www.nasdaq.com/symbol/abm",
"ANCX","Access National Corporation","11.85","122352482.4","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ancx",
"ACE","Ace Limited","90.04","30600099852.6","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ace",
"ACNB","ACNB Corporation","16.7","99621645.6","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/acnb",
"PVD","Administradora de Fondos de Pensiones-Provida, S.A.","103.83","2293373574.42","n/a","1994","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pvd",
"AEB","Aegon NV","25","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeb",
"AED","Aegon NV","25.13","0","n/a","1995","Finance","Life Insurance","http://www.nasdaq.com/symbol/aed",
"AEF","Aegon NV","25.4","0","n/a","1990","Finance","Life Insurance","http://www.nasdaq.com/symbol/aef",
"AEG","Aegon NV","5.99","11438827765.49","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeg",
"AEH","Aegon NV","26.3","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeh",
"AEK","Aegon NV","28.67","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aek",
"AEV","Aegon NV","25.22","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aev",
"AMG","Affiliated Managers Group, Inc.","150.34","7904391301.12","n/a","1997","Finance","Investment Managers","http://www.nasdaq.com/symbol/amg",
"MGR","Affiliated Managers Group, Inc.","26.52","0","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/mgr",
"AFL","Aflac Incorporated","49.6","23182530360","n/a","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/afl",
"AFSD","Aflac Incorporated","26.1","0","n/a","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/afsd",
"ALEX","Alexander & Baldwin Holdings, Inc.","34.48","1486020936.4","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/alex",
"Y","Alleghany Corporation","386.08","6487491419.2","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/y",
"ALLB","Alliance Bancorp, Inc. of Pennsylvania","13.15","68402802.1","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/allb",
"AB","Alliance Capital Management Holding L.P.","21.47","2258071652.74","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/ab",
"NFJ","AllianzGI NFJ Dividend, Interest & Premium Strategy Fund","16.67","1575720497.75","n/a","2005","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/nfj",
"AWH","Allied World Assurance Company Holdings, AG","93.06","3223359514.98","n/a","2006","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/awh",
"ALL","Allstate Corporation (The)","50.11","23924831988.38","n/a","1989","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/all",
"ALTE","Alterra Capital Holdings Limited","32.05","3079126605.65","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/alte",
"RESI","Altisource Residential Corporation","19.91","0","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/resi",
"ASBI","Ameriana Bancorp","9.05","27050015.6","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/asbi",
"ATAX","America First Tax Exempt Investors, L.P.","7.11","304115518.08","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/atax",
"APP","American Apparel Inc","2.1","226006706.1","n/a","1994","Finance","Business Services","http://www.nasdaq.com/symbol/app",
"AEL","American Equity Investment Life Holding Company","14.59","924463748.06","n/a","2003","Finance","Life Insurance","http://www.nasdaq.com/symbol/ael",
"AXP","American Express Company","65.6","72290295704","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/axp",
"AFA","American Financial Group, Inc.","26.48","0","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afa",
"AFG","American Financial Group, Inc.","47.4","4225465131.6","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afg",
"AFQ","American Financial Group, Inc.","26.52","0","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afq",
"AFW","American Financial Group, Inc.","26.84","0","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afw",
"AMIC","American Independence Corp.","6.9899","57822773.4468","n/a","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/amic",
"AFF","American International Group, Inc.","25.26","0","n/a","1994","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/aff",
"AIG","American International Group, Inc.","40.09","59185767942.57","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/aig",
"AMNB","American National Bankshares, Inc.","19.96","156939511.96","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/amnb",
"ANAT","American National Insurance Company","87.1","2342878250.7","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/anat",
"ARL","American Realty Investors, Inc.","3.9","44949017.1","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/arl",
"AMRB","American River Bankshares","7.63","70010812.27","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/amrb",
"ASI","American Safety Insurance Holdings, Ltd.","24.82","245591045.7","n/a","1998","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/asi",
"AMP","AMERIPRISE FINANCIAL SERVICES, INC.","72.33","14661700315.47","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/amp",
"ABCB","Ameris Bancorp","14.19","338882529.15","n/a","1994","Finance","Major Banks","http://www.nasdaq.com/symbol/abcb",
"AMSF","AMERISAFE, Inc.","34.17","626426172.12","n/a","2005","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/amsf",
"ASRV","AmeriServ Financial Inc.","3.12","59804746.56","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrv",
"ASRVP","AmeriServ Financial Inc.","25.9815","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrvp",
"ATLO","Ames National Corporation","19.8","184356077.4","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/atlo",
"AXR","AMREP Corporation","10.47","62780339.64","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/axr",
"AFSI","AmTrust Financial Services, Inc.","34.42","2317379816.58","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afsi",
"ANCB","Anchor Bancorp","15.03","38326500","n/a","2011","Finance","Banks","http://www.nasdaq.com/symbol/ancb",
"ANDA","Andina Acquisition Corporation","9.99","52447500","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/anda",
"ANDAU","Andina Acquisition Corporation","10.03","16549510.03","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/andau",
"ANDAW","Andina Acquisition Corporation","0.15","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/andaw",
"AON","Aon plc","60.61","18735407116.25","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/aon",
"APO","Apollo Global Management, LLC","25.09","3315389012.13","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/apo",
"AQU","Aquasition Corp.","9.7","63901175","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/aqu",
"AQUUU","Aquasition Corp.","10.05","66206887.5","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/aquuu",
"AQUUW","Aquasition Corp.","n/a","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/aquuw",
"ACGL","Arch Capital Group Ltd.","51.92","6906448606.64","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/acgl",
"AGII","Argo Group International Holdings, Ltd.","41.5","1028946310.5","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/agii",
"AGIIL","Argo Group International Holdings, Ltd.","25.09","0","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/agiil",
"AI","Arlington Asset Investment Corp","26.51","424450814.7","n/a","1972","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/ai",
"AROW","Arrow Financial Corporation","24.35","295652805.65","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/arow",
"AJG","Arthur J. Gallagher & Co.","41.38","5238992446.12","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/ajg",
"ART","ARTIO GLOBAL INVESTORS INC.","2.72","164690845.6","n/a","2009","Finance","Investment Managers","http://www.nasdaq.com/symbol/art",
"APAM","Artisan Partners Asset Management Inc.","37.78","2484711979.82","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/apam",
"ASBB","ASB Bancorp, Inc.","16.97","91024551.47","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/asbb",
"AHL","Aspen Insurance Holdings Limited","38.51","2687485778.49","n/a","2003","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ahl",
"AACC","Asset Acceptance Capital Corp.","6.7","206239909.2","n/a","2004","Finance","Finance Companies","http://www.nasdaq.com/symbol/aacc",
"ASBC","Associated Banc-Corp","14.64","2453785599.84","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asbc",
"ASBCW","Associated Banc-Corp","1.5004","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asbcw",
"AIZ","Assurant, Inc.","45.77","3613890404.71","n/a","2004","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/aiz",
"AGO","Assured Guaranty Ltd.","20.28","3924563839.56","n/a","1987","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ago",
"ASFI","Asta Funding, Inc.","9.53","123329054.67","n/a","1995","Finance","Finance Companies","http://www.nasdaq.com/symbol/asfi",
"AF","Astoria Financial Corporation","9.51","940878507","n/a","1991","Finance","Savings Institutions","http://www.nasdaq.com/symbol/af",
"AFCB","Athens Bancshares Corporation","18.0001","39987546.1518","n/a","2010","Finance","Savings Institutions","http://www.nasdaq.com/symbol/afcb",
"AAME","Atlantic American Corporation","3.39","71649595.86","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aame",
"ACFC","Atlantic Coast Federal Corporation","4.49","11804483.89","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/acfc",
"ATLC","Atlanticus Holdings Corporation","3.92","60984141.68","n/a","1995","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/atlc",
"AFH","Atlas Financial Holdings, Inc.","6.25","42708893.75","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afh",
"AUBN","Auburn National Bancorporation, Inc.","21.75","79233684","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/aubn",
"AV","Aviva plc","9.18","13337222385.42","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/av",
"AVV","Aviva plc","28.44","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/avv",
"AXS","Axis Capital Holdings Limited","42.48","5062504765.68","n/a","1992","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/axs",
"BWINA","Baldwin & Lyons, Inc.","22.897","341466258.168","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/bwina",
"BWINB","Baldwin & Lyons, Inc.","24.24","360982758.72","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/bwinb",
"BANF","BancFirst Corporation","41.04","625873420.08","n/a","1993","Finance","Major Banks","http://www.nasdaq.com/symbol/banf",
"BANFP","BancFirst Corporation","26.51","26510000","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/banfp",
"BBVA","Banco Bilbao Viscaya Argentaria S.A.","8.48","46206244141.6","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bbva",
"BBD","Banco Bradesco Sa","16.66","66775514106","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bbd",
"BCH","Banco De Chile","92.65","14202828445.6","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bch",
"BLX","Banco Latinoamericano de Comercio Exterior, S.A.","24.62","720653669.54","n/a","1992","Finance","Commercial Banks","http://www.nasdaq.com/symbol/blx",
"BSBR","Banco Santander Brasil SA","7.04","26682141002.88","n/a","2009","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bsbr",
"BSAC","Banco Santander Chile","27.48","12946247070","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bsac",
"SAN","Banco Santander, S.A.","6.78","63970026673.62","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/san",
"CIB","BanColombia S.A.","63.6","8104302885.6","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/cib",
"BKJ","Bancorp of New Jersey, Inc","13.05","67950462.6","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bkj",
"BXS","BancorpSouth, Inc.","15.79","1493190824","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bxs",
"BXS^A","BancorpSouth, Inc.","26.45","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/bxs^a",
"BKMU","Bank Mutual Corporation","5.27","244633842.68","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/bkmu",
"BAC","Bank of America Corporation","12.21","132140869702.71","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bac",
"BOCH","Bank of Commerce Holdings (CA)","5.1","78117419.1","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/boch",
"BOH","Bank of Hawaii Corporation","49.52","2221075051.12","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/boh",
"BMRC","Bank of Marin Bancorp","39.5","214098927","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bmrc",
"BMO","Bank Of Montreal","61.27","39992825735.39","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bmo",
"BK","Bank Of New York Mellon Corporation (The)","27.5","31942136462.5","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bk",
"BNS","Bank of Nova Scotia (The)","56.12","66901042034","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bns",
"BKSC","Bank of South Carolina Corp.","12.25","54466427.75","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bksc",
"BOTJ","Bank of the James Financial Group, Inc.","7.044","23616594.9","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/botj",
"OZRK","Bank of the Ozarks","41.64","1472141559.36","n/a","1997","Finance","Major Banks","http://www.nasdaq.com/symbol/ozrk",
"BFIN","BankFinancial Corporation","7.85","165422783.1","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/bfin",
"BKU","BankUnited, Inc.","25.29","2403516406.77","n/a","2011","Finance","Savings Institutions","http://www.nasdaq.com/symbol/bku",
"BANR","Banner Corporation","30.95","602363848.85","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/banr",
"BHB","Bar Harbor Bankshares, Inc.","35.42","139135037.58","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bhb",
"BCS","Barclays PLC","17.15","52490291337.05","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bcs",
"BBT","BB&T Corporation","30.38","21262855913.04","n/a","1991","Finance","Major Banks","http://www.nasdaq.com/symbol/bbt",
"BBCN","BBCN Bancorp, Inc.","13.05","1028067777","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bbcn",
"BFR","BBVA Banco Frances S.A.","4.27","764156138.41","n/a","1993","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bfr",
"BBX","BBX Capital Corporation","8.27","130438649.43","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/bbx",
"BCBP","BCB Bancorp, Inc. (NJ)","10.14","85922131.62","n/a","2005","Finance","Savings Institutions","http://www.nasdaq.com/symbol/bcbp",
"BCSB","BCSB Bancorp, Inc.","16.76","53370594.28","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/bcsb",
"TZF","Bear Stearns Depositor, Inc.","29","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/tzf",
"BNCL","Beneficial Mutual Bancorp, Inc.","9.85","781080158.3","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/bncl",
"BERK","Berkshire Bancorp, Inc.","8.62","124267626.76","n/a","1972","Finance","Major Banks","http://www.nasdaq.com/symbol/berk",
"BRK/A","Berkshire Hathaway Inc.","158000","0","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/brk/a",
"BRK/B","Berkshire Hathaway Inc.","105.26","0","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/brk/b",
"BHLB","Berkshire Hills Bancorp, Inc.","25.5","645958299","n/a","n/a","Finance","Banks","http://www.nasdaq.com/symbol/bhlb",
"BGCA","BGC Partners, Inc.","26.68","0","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/bgca",
"BGCP","BGC Partners, Inc.","5.62","922114830.64","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/bgcp",
"BGSC","BGS Acquisition Corp.","10","19142510","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/bgsc",
"BGSCU","BGS Acquisition Corp.","10.03","19199937.53","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/bgscu",
"BGSCW","BGS Acquisition Corp.","0.12","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/bgscw",
"BLK","BlackRock, Inc.","249.38","42384951986.56","n/a","1980","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/blk",
"MNGL","Blue Wolf Mongolia Holdings Corp.","9.93","99920625","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/mngl",
"MNGLU","Blue Wolf Mongolia Holdings Corp.","10.11","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/mnglu",
"MNGLW","Blue Wolf Mongolia Holdings Corp.","0.4","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/mnglw",
"BNCN","BNC Bancorp","9.85","260719699.25","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bncn",
"BOFI","BofI Holding, Inc.","36.55","468852800.5","n/a","2005","Finance","Savings Institutions","http://www.nasdaq.com/symbol/bofi",
"BOKF","BOK Financial Corporation","62.37","4385231955.72","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bokf",
"BPFH","Boston Private Financial Holdings, Inc.","9.69","765483042.42","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bpfh",
"BPFHW","Boston Private Financial Holdings, Inc.","3.37","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bpfhw",
"BDGE","Bridge Bancorp, Inc.","21.42","192238930.8","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bdge",
"BBNK","Bridge Capital Holdings","14.65","230716228.2","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bbnk",
"BYFC","Broadway Financial Corporation","0.9","1725679.8","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/byfc",
"BRKL","Brookline Bancorp, Inc.","9.11","641077186.32","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/brkl",
"BRO","Brown & Brown, Inc.","30.65","4412410442.85","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/bro",
"BMTC","Bryn Mawr Bank Corporation","23.06","310956974.46","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bmtc",
"BLMT","BSB Bancorp, Inc.","13.8","123959245.2","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/blmt",
"CFFI","C&F Financial Corporation","41.21","134663441.77","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cffi",
"GYB","CABCO Series 2004-101 Trust","21","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/gyb",
"PFH","CABCO Series 2004-101 Trust","17.56","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/pfh",
"CLMS","Calamos Asset Management, Inc.","11.27","230735950.55","n/a","2004","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/clms",
"CFNB","California First National Bancorp","16.8","175513413.6","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cfnb",
"CAFI","Camco Financial Corporation","3.42","46324867.86","n/a","n/a","Finance","Banks","http://www.nasdaq.com/symbol/cafi",
"CAC","Camden National Corporation","32.33","247479974.97","n/a","1987","Finance","Major Banks","http://www.nasdaq.com/symbol/cac",
"CCG","Campus Crest Communities, Inc.","14.31","921707085.69","n/a","1993","Finance","Real Estate","http://www.nasdaq.com/symbol/ccg",
"CM","Canadian Imperial Bank of Commerce","76.87","30801494524.83","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/cm",
"CBNJ","Cape Bancorp, Inc.","9.08","121170566.08","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cbnj",
"CBF","Capital Bank Financial Corp.","16.93","945471476.39","n/a","1970","Finance","Major Banks","http://www.nasdaq.com/symbol/cbf",
"CCBG","Capital City Bank Group","12.22","211562049.4","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ccbg",
"COF","Capital One Financial Corporation","55.41","32354123909.19","n/a","1994","Finance","Major Banks","http://www.nasdaq.com/symbol/cof",
"CSE","CapitalSource Inc","9.34","1902074094.6","n/a","1972","Finance","Major Banks","http://www.nasdaq.com/symbol/cse",
"CFFN","Capitol Federal Financial, Inc.","11.98","1822455786.86","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/cffn",
"CFNL","Cardinal Financial Corporation","17.28","522787495.68","n/a","1998","Finance","Major Banks","http://www.nasdaq.com/symbol/cfnl",
"CLBH","Carolina Bank Holdings Inc.","10.9001","36937964.5773","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/clbh",
"CRRB","Carrollton Bancorp","5.47","14109252.36","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/crrb",
