"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"MMM","3M Company","105.75","72966469466.25","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/mmm",
"ASTM","Aastrom Biosciences, Inc.","0.7","31964855.3","n/a","1997","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/astm",
"ABMD","ABIOMED, Inc.","17.2","663194263.2","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/abmd",
"ACHC","Acadia Healthcare Company, Inc.","29.01","1456809326.88","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/achc",
"ARAY","Accuray Incorporated","4.58","338582879.94","n/a","2007","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/aray",
"ACOR","Acorda Therapeutics, Inc.","31.16","1255126981.2","n/a","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/acor",
"ADK","Adcare Health Systems Inc","4.23","62004867.03","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/adk",
"ADUS","Addus HomeCare Corporation","12.79","139201653.28","n/a","2009","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/adus",
"AET","Aetna Inc.","54.49","17872720000","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aet",
"AGEN","Agenus Inc.","4.11","103982054.7","n/a","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/agen",
"AMRI","Albany Molecular Research, Inc.","9.6","300839260.8","n/a","1999","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/amri",
"ALR","Alere Inc.","26.06","2116108014.92","n/a","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/alr",
"ALGN","Align Technology, Inc.","31.68","2590102912.32","n/a","2001","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/algn",
"AIQ","Alliance HealthCare Services, Inc.","8.5","90166385","n/a","2001","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aiq",
"AHPI","Allied Healthcare Products, Inc.","2.88","23127111.36","n/a","1992","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/ahpi",
"AFAM","Almost Family Inc","20.32","190118309.12","n/a","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/afam",
"APT","Alpha Pro Tech, Ltd.","1.59","31926335.04","n/a","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/apt",
"ATEC","Alphatec Holdings, Inc.","1.99","192442285.34","n/a","2006","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atec",
"AMED","Amedisys Inc","10.77","337979767.38","n/a","1987","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/amed",
"ANCI","American Caresource Holdings Inc","1.9454","11101314.2122","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/anci",
"ASEI","American Science and Engineering, Inc.","60.69","494965488.15","n/a","n/a","Health Care","Medical Electronics","http://www.nasdaq.com/symbol/asei",
"AMS","American Shared Hospital Services","1.79","8244507.3","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/ams",
"ABC","AmerisourceBergen Corporation (Holding Co)","52.63","12113988411.55","n/a","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/abc",
"AMGN","Amgen Inc.","105.1","78659994891.8","n/a","1983","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/amgn",
"AHS","AMN Healthcare Services Inc","14.59","668072364.96","n/a","2001","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/ahs",
"AMSG","Amsurg Corp.","32.93","1057816844.28","n/a","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/amsg",
"ANGO","AngioDynamics, Inc.","10.6","370725672","n/a","2004","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/ango",
"ANIK","Anika Therapeutics Inc.","13.91","193616280.65","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/anik",
"ATRS","Antares Pharma, Inc.","3.45","435289532.55","n/a","2002","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atrs",
"ABIO","ARCA biopharma, Inc.","2.08","6625968.96","n/a","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/abio",
"ARIA","ARIAD Pharmaceuticals, Inc.","17.25","3170857464","n/a","1994","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/aria",
"HRT","Arrhythmia Research Technology Inc.","2.65","7394862.1","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/hrt",
"ARWR","Arrowhead Research Corporation","2.02","34968642.18","n/a","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/arwr",
"ARTC","ArthroCare Corporation","34.72","978259088.8","n/a","1996","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/artc",
"ALC","Assisted Living Concepts, Inc. New","11.91","273579143.31","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/alc",
"ATOS","Atossa Genetics Inc.","7.66","108578094.76","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atos",
"ATRC","AtriCure, Inc.","8.08","168843857.36","n/a","1979","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atrc",
"ATRI","ATRION Corporation","188.24","380377885.68","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atri",
"BONE","Bacterin International Holdings, Inc.","0.7717","32912977.2188","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/bone",
"BAX","Baxter International Inc.","70.11","38275057511.28","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/bax",
"BDX","Becton, Dickinson and Company","95.46","18515531474.46","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/bdx",
"BGMD","BG Medicine, Inc.","1.69","46607286.44","n/a","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/bgmd",
"BASI","Bioanalytical Systems, Inc.","1.46","11178808.28","n/a","1997","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/basi",
"BCRX","BioCryst Pharmaceuticals, Inc.","1.92","97782036.48","n/a","1994","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/bcrx",
"BIIB","Biogen Idec Inc.","194.13","45875285638.83","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/biib",
"BIOL","Biolase, Inc.","4.16","131041576.64","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/biol",
"BRLI","Bio-Reference Laboratories, Inc.","26.31","729439830.03","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/brli",
"BPAX","Biosante Pharmaceuticals, Inc.","1.18","28818243.2","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/bpax",
"BIOS","BioScrip, Inc.","12.42","708417648.36","n/a","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/bios",
"BOTA","Biota Pharmaceuticals, Inc.","4.23","119930351.67","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/bota",
"BTX","BioTime, Inc.","3.56","195489543.08","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/btx",
"BDMS","Birner Dental Management Services, Inc.","17.95","33142915.9","n/a","1998","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/bdms",
"BSX","Boston Scientific Corporation","7.81","10546279867.97","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/bsx",
"BVX","Bovie Medical Corporation","3.14","55854875.78","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/bvx",
"BKD","Brookdale Senior Living Inc.","27.56","3382657185.44","n/a","2005","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/bkd",
"BSDM","BSD Medical Corporation","1.65","49092765.15","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/bsdm",
"BCR","C.R. Bard, Inc.","100.33","8251456844.78","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/bcr",
"CMN","Cantel Medical Corp.","29.38","802890058.88","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/cmn",
"CSU","Capital Senior Living Corporation","25.12","717233097.76","n/a","1997","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/csu",
"CRDC","Cardica, Inc.","1.33","49162126.65","n/a","2006","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/crdc",
"CAH","Cardinal Health, Inc.","42.77","14578571550.27","n/a","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/cah",
"BEAT","CardioNet, Inc.","2.42","61021185.72","n/a","2008","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/beat",
"CSII","Cardiovascular Systems, Inc.","18.81","396715766.04","n/a","1981","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/csii",
"CXM","Cardium Therapeutics, Inc.","0.101","13050952.956","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cxm",
"CFN","CareFusion Corporation","34.48","7674928542.8","n/a","1996","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/cfn",
"CASM","CAS Medical Systems, Inc.","1.86","25447017.12","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/casm",
"CLDX","Celldex Therapeutics, Inc.","11.33","913190284.27","n/a","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/cldx",
"CVM","Cel-Sci Corporation","0.27","83419305.3","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cvm",
"CNC","Centene Corporation","42.38","2220573586.92","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/cnc",
"CERS","Cerus Corporation","4.35","261448050","n/a","1997","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/cers",
"CRL","Charles River Laboratories International, Inc.","41.57","2029136788.96","n/a","2000","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/crl",
"CHTP","Chelsea Therapeutics International, Ltd.","1.87","125431706.73","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/chtp",
"CHE","Chemed Corp.","78.39","1502145944.91","n/a","1971","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/che",
"CBPO","China Biologic Products, Inc.","26.9","721513736.8","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cbpo",
"CJJD","China Jo-Jo Drugstores, Inc.","0.95","12928551.9","n/a","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/cjjd",
"NPD","China Nepstar Chain Drugstore Ltd","1.86","183582000","n/a","2007","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/npd",
"CHDX","Chindex International, Inc.","13.47","229897015.92","n/a","1994","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/chdx",
"CI","Cigna Corporation","65.24","18662652194.76","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/ci",
