"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ACTG","Acacia Research Corporation","29.34","1443691042.38","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/actg",
"ACN","Accenture plc.","76.55","52205443764.2","n/a","1986","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/acn",
"AQ            ","Acquity Group Limited","6.9","162263229","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/aq            ",
"AKAM","Akamai Technologies, Inc.","34.49","6135156767.59","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/akam",
"ADS","Alliance Data Systems Corporation","155.05","7733028200.8","n/a","2001","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ads",
"ATHN","athenahealth, Inc.","95.5","3469661210.5","n/a","1991","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/athn",
"AVID","Avid Technology, Inc.","6.19","240947278.93","n/a","1993","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/avid",
"BTN","Ballantyne Strong, Inc","4.31","60597725.07","n/a","1995","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/btn",
"RATE","Bankrate, Inc.","11.69","1169554585.29","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/rate",
"BFAM","Bright Horizons Family Solutions Inc.","33.57","2166402116.61","n/a","n/a","Miscellaneous","Other Consumer Services","http://www.nasdaq.com/symbol/bfam",
"BR","Broadridge Financial Solutions, Inc.","23.5","2863594897","n/a","1988","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/br",
"BSQR","BSQUARE Corporation","3.0499","33869093.7515","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/bsqr",
"BUR","Burcon Nutrascience Corp","2.84","89814128.12","n/a","1992","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/bur",
"CAJ","Canon, Inc.","35.09","40451446401.19","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/caj",
"CATM","Cardtronics, Inc.","27.68","1240313756.64","n/a","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/catm",
