"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"VNET","21Vianet Group, Inc.","9.1","332031190.4","36486944","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet",
"DDD","3D Systems Corporation","31.45","2913180634.75","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ddd",
"JOBS","51job, Inc.","59.11","646050133.75","10929625","2004","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs",
"AAN","Aaron&#39;s,  Inc.","28.19","2135871730","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aan",
"ACCL","Accelrys, Inc.","9.8","545006351.4","n/a","1995","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/accl",
"ACIW","ACI Worldwide, Inc.","45.14","1798301132.84","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/aciw",
"ACTS","Actions Semiconductor Co., Ltd.","2.67","112497376.83","42133849","2005","Technology","Semiconductors","http://www.nasdaq.com/symbol/acts",
"ATVI","Activision Blizzard, Inc","14.66","16326794912.08","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/atvi",
"ATU","Actuant Corporation","29.65","2162729321.55","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/atu",
"BIRT","Actuate Corporation","5.76","274959146.88","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/birt",
"ACXM","Acxiom Corporation","19.74","1457352737.82","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acxm",
"ADEP","Adept Technology, Inc.","2.75","29543104.25","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/adep",
"ADBE","Adobe Systems Incorporated","43.79","21979784971.88","n/a","1986","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/adbe",
"AMD","Advanced Micro Devices, Inc.","2.59","1849746951.08","n/a","1972","Technology","Semiconductors","http://www.nasdaq.com/symbol/amd",
"API","Advanced Photonix, Inc.","0.46","14334127.62","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/api",
"ASX","Advanced Semiconductor Engineering, Inc.","3.92","5954262224.4","n/a","1996","Technology","Semiconductors","http://www.nasdaq.com/symbol/asx",
"ATE","Advantest Corporation (Kabushiki Kaisha Advantest) ADS","13.6","2361078007.2","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/ate",
"ADVS","Advent Software, Inc.","26.52","1342424472.48","n/a","1995","Technology","EDP Services","http://www.nasdaq.com/symbol/advs",
"AER","Aercap Holdings N.V.","15.94","1807014747.9","n/a","2006","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aer",
"ACY","AeroCentury Corp.","19.09","29460776.13","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/acy",
"ARX","Aeroflex Holding Corp.","7.54","640373986.98","n/a","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/arx",
